RSI (Momentum),MACD (Trend),Volume Change,Gunning Fog (Readability),Flesch Reading Ease,VADER Sentiment,Difficult Word Ratio,Word Count,FinBERT Voting Confidence
-0.28248826,-0.4324717,-0.21683714,-0.10156948,0.114905044,-0.090662986,0.07966341,0.04911893,0.0
0.43314424,0.75363296,-0.119672894,-0.1459543,0.29139686,0.23017876,0.17499101,0.096242726,0.0
0.4246116,-0.3185008,-0.057325426,0.1256818,-0.29372633,0.17323026,-0.23116612,-0.10308045,0.0
-0.18614875,-0.5053948,0.10675719,0.08304652,-0.5067117,0.2206231,0.22309521,0.22390069,0.0
-0.25529355,0.027188824,0.16030863,-0.312616,-0.74057984,0.06643143,-0.43614864,-0.16870409,0.0
0.6878553,-0.122848056,-0.2829954,0.08106667,-0.5087252,0.024884988,-0.08534004,-0.034949668,0.0
-0.95219994,0.73481166,-0.35591274,-0.54412687,-0.84589064,0.035982918,-0.20583506,-0.053083465,0.0
0.35499787,-0.5235355,0.10147981,-0.3094584,0.15843466,0.18681344,-0.27421594,0.055319197,0.0
-0.3977262,-0.041304268,0.02233848,0.08776738,-0.4632319,0.11885272,-0.07947008,-0.12253039,0.0
0.06811503,0.14687741,0.23995376,-0.3413618,0.102130994,0.06544398,-0.34169677,0.22853193,0.0
-0.4857624,-0.10114922,-0.13653547,-0.5563664,-0.61640376,0.086331576,0.080445245,0.17177582,0.0
0.74132556,-0.196218,0.008808162,-0.4430343,-0.43816328,0.098308206,0.19634809,-0.057555605,0.0
0.6401159,0.9585068,0.12737253,0.41340992,0.23840693,0.15985806,0.25402036,0.37559697,0.0
-0.36785236,-0.47277525,0.43678048,0.25024816,0.014627583,0.07530252,0.3337812,0.11179467,0.0
-0.12666914,-0.03449894,0.33131188,0.2737665,0.18519242,0.2513027,-0.016605092,0.39294204,0.0
-0.14292961,0.13834898,0.4377329,0.41354522,-0.05330402,0.6390628,-0.07642439,0.013005969,0.0
0.4310306,0.6918558,0.42366585,0.41924772,0.12606843,0.64036775,0.1300234,0.035976022,0.0
-0.48013607,0.7838712,-0.4248012,0.25578415,-0.24217848,0.09513673,0.06340464,0.13010673,0.0
0.5626699,0.6650625,0.20163478,0.28068498,-0.109745026,-0.07890884,2.7287751e-05,0.21796975,0.0
-0.39127302,0.1574497,0.5761103,0.3237643,0.18904741,-0.107537314,-0.005904776,-0.18855345,0.0
-0.40174168,0.09879545,-0.8114906,0.19705153,0.31795,0.020450272,-0.4309662,0.041965287,0.0
0.11441211,-0.45791933,-0.27373978,0.20291632,0.19330749,-0.11609431,-0.53290874,-0.08616972,0.0
-0.37395957,0.50497967,0.3527002,0.29420942,0.2632965,-0.022325397,-0.135075,-0.0016035829,0.0
0.21188013,0.124646455,0.24377473,0.35075495,0.12070747,-0.13494344,0.054745384,0.028532939,0.0
-0.38151065,-0.31738085,0.6856422,0.22376657,0.49097025,-0.052478433,-0.19767003,-0.011816799,0.0
-0.4386056,-0.24894856,0.27587754,0.35793194,0.18928361,-0.079717115,-0.09081251,-0.03528544,0.0
0.24310496,-0.6416324,-0.1460351,0.16769014,0.016405107,0.06614624,-0.36138582,-0.05850851,0.0
-0.9705422,0.5192723,0.4386021,0.30701017,-0.03341325,-0.08418617,-0.06979794,0.12298135,0.0
-0.1261489,0.3864012,0.53459996,0.33678406,0.2551405,-0.06710596,-0.12866953,0.012365221,0.0
-0.34497973,-0.44649342,0.4929115,0.17475823,0.4661634,-0.057743978,-0.11955894,-0.036183663,0.0
-0.22785002,0.027551005,-1.0450593,0.18562809,0.38491392,0.094144315,0.34476724,0.037354838,0.0
