ticker,entry_date,exit_date,return,days_held,allocated,strategy
JPM,2023-08-03,2023-09-01,-0.06692060268208637,20,216.58179748716907,Strategy B (conf>=0.72)
BRK-B,2023-08-07,2023-09-06,0.0006692881963239149,20,177.20328885313833,Strategy B (conf>=0.72)
UPS,2023-08-08,2023-09-07,-0.08843847678380393,20,147.66940737761527,Strategy B (conf>=0.72)
HD,2023-08-22,2023-09-21,-0.041503787947168365,20,418.5351699411,Strategy B (conf>=0.72)
NKE,2023-10-06,2023-11-06,0.1041870503918176,20,2092.5390105938905,Strategy B (conf>=0.72)
PEP,2023-10-10,2023-11-08,0.01815034190080481,20,1674.0312084751124,Strategy B (conf>=0.72)
NFLX,2023-10-20,2023-11-20,0.15292244546189881,20,1339.22496678009,Strategy B (conf>=0.72)
TSLA,2023-10-23,2023-11-21,0.0846350729151631,20,1071.379973424072,Strategy B (conf>=0.72)
GOOGL,2023-10-25,2023-11-24,0.11873723499474866,20,857.1039787392576,Strategy B (conf>=0.72)
TXN,2023-10-25,2023-11-24,0.09441088450091036,20,571.4026524928385,Strategy B (conf>=0.72)
HON,2023-10-26,2023-11-27,0.10200802882964362,20,408.1447517805988,Strategy B (conf>=0.72)
LIN,2023-10-26,2023-11-27,0.12396618492362532,20,306.10856383544916,Strategy B (conf>=0.72)
MA,2023-10-26,2023-11-27,0.12044933038086945,20,238.08443853868266,Strategy B (conf>=0.72)
CMCSA,2023-10-26,2023-11-27,0.11399996596948052,20,190.46755083094612,Strategy B (conf>=0.72)
BAC,2023-10-31,2023-11-30,0.15070619935105778,20,155.83708704350138,Strategy B (conf>=0.72)
UPS,2023-11-01,2023-12-01,0.0826503721627419,20,129.86423920291782,Strategy B (conf>=0.72)
JPM,2023-11-01,2023-12-01,0.11128497622466622,20,109.885125479392,Strategy B (conf>=0.72)
TMO,2023-11-03,2023-12-05,0.07841747062245831,20,94.18725041090742,Strategy B (conf>=0.72)
UNH,2023-11-06,2023-12-06,0.02527764940036256,20,252.49919523423407,Strategy B (conf>=0.72)
NEE,2023-11-07,2023-12-07,0.045438734373076585,20,218.83263586966953,Strategy B (conf>=0.72)
HD,2023-11-21,2023-12-21,0.15138854021168435,20,574.9347052888709,Strategy B (conf>=0.72)
ACN,2023-12-19,2024-01-22,0.05620908775399692,20,2157.4963547415787,Strategy B (conf>=0.72)
V,2024-01-26,2024-02-27,0.065411588182148,20,2314.145181336016,Strategy B (conf>=0.72)
ACN,2024-03-21,2024-04-22,-0.08822231659816017,20,2344.4195636550667,Strategy B (conf>=0.72)
V,2024-04-24,2024-05-23,0.00918200479870842,20,2303.0535386583274,Strategy B (conf>=0.72)
TSLA,2024-04-24,2024-05-23,0.14268391654011003,20,1842.442830926662,Strategy B (conf>=0.72)
TXN,2024-04-24,2024-05-23,0.1579721424390079,20,1473.9542647413296,Strategy B (conf>=0.72)
BAC,2024-04-30,2024-05-30,0.039849127561791015,20,1179.1634117930637,Strategy B (conf>=0.72)
JPM,2024-05-01,2024-05-31,0.031268104203965676,20,943.330729434451,Strategy B (conf>=0.72)
LIN,2024-05-02,2024-06-03,0.0374137173510998,20,628.8871529563006,Strategy B (conf>=0.72)
UPS,2024-05-03,2024-06-04,-0.05605745977673828,20,449.2051092545004,Strategy B (conf>=0.72)
UNH,2024-05-09,2024-06-10,-0.03636352707255395,20,336.90383194087536,Strategy B (conf>=0.72)
HD,2024-05-21,2024-06-21,0.06667088159244301,20,262.03631373179195,Strategy B (conf>=0.72)
COST,2024-06-06,2024-07-09,0.04290083876009365,20,2301.6074748082365,Strategy B (conf>=0.72)
ACN,2024-06-20,2024-07-22,0.08088255256420704,20,1906.2165439120386,Strategy B (conf>=0.72)
NFLX,2024-07-19,2024-08-19,0.05305780885819819,20,2060.944209479938,Strategy B (conf>=0.72)
